id,donor_long,donor_short,agency_long,agency_short,donor_slug,agency_slug,donor_description,agency_description,recipient,donor_responded,cso_name,iati,dac,totalaid,recipient1,recipient1_value,recipient2,recipient2_value,recipient3,recipient3_value,recipient4,recipient4_value,recipient5,recipient5_value,url,rank,rank_order,total,total_org,total_country,total_activity,ranking_group,ranking_group_order,updatetext,donor_tag
23,France,France,French Development Agency,AFD,france,afd,"The 2011 Pilot Index only assessed the transparency of one French organisation, the French Development Agency (AFD &mdash; L’Agence Française de Développement). Although the AFD is the main implementing agency for France’s development cooperation, substantial flows and activities are managed by other public bodies. To gain a more accurate reflection of French aid transparency, the 2012 Index includes profiles of the Ministry of Foreign Affairs (MAE &mdash; le Ministère des Affaires étrangères) and the Ministry of Economy and Finance (MINEFI &mdash; le Ministère de l’Économie et des Finances) on the following pages.
France has not signed IATI but has attended several IATI Steering Committee meetings as an observer. It has committed to implement the Busan common standard, which includes all IATI information fields and the XML format. As part of the common standard agreement in June 2012, France has committed to producing an implementation schedule by December 2012.
France has not joined OGP.
A national Open Data platform and approach is being developed by Etalab, launched by the Prime Minister in February 2011. It is overseeing www.data.gouv.fr, an inter-departmental portal for publishing existing public administration information in a range of raw, re-usable formats.
France should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.
Joining OGP, which currently includes 16 other EU Member States, would be an opportunity to share best practice in open data and open government approaches with peers in the EU and with partners who receive French aid.","The AFD performed poorly, dropping 15 places in rank due to progress made by other donors and the addition of several higher performing donors to the 2012 Index. In general, the AFD performed consistently with its score in the 2011 Index, though its activity level score did improve. The AFD performed very well at the activity level, ranking 18th overall, compared to 51st and 53rd for the country and organisation levels respectively. Activity level information is published in a French-language database that could easily be converted to the IATI format to create a good first publication, although it is not clear how closely aligned the data is with AFD’s internal systems. The AFD did not provide comments during the survey process.
The AFD should begin publication of timely, comprehensive, internationally comparable and accessible information. A first step could be to convert the information in its existing online database into IATI XML. It should also publish budget information at organisation, country and activity levels and address the particularly weak publication of country level information, such as MoUs, evaluations and results.",,no,Coordination SUD,,,,,,,,,,,,,,,44,44,0.350582,0.388889,0.142857,0.52,poor,4,,Bilateral
24,France,France,Ministry of Foreign Affairs,MAE,france,mae,"The 2011 Pilot Index only assessed the transparency of one French organisation, the French Development Agency (AFD &mdash; L’Agence Française de Développement). Although the AFD is the main implementing agency for France’s development cooperation, substantial flows and activities are managed by other public bodies. To gain a more accurate reflection of French aid transparency, the 2012 Index includes profiles of the Ministry of Foreign Affairs (MAE &mdash; le Ministère des Affaires étrangères) and the Ministry of Economy and Finance (MINEFI &mdash; le Ministère de l’Économie et des Finances) on the following pages.
France has not signed IATI but has attended several IATI Steering Committee meetings as an observer. It has committed to implement the Busan common standard, which includes all IATI information fields and the XML format. As part of the common standard agreement in June 2012, France has committed to producing an implementation schedule by December 2012.
France has not joined OGP.
A national Open Data platform and approach is being developed by Etalab, launched by the Prime Minister in February 2011. It is overseeing www.data.gouv.fr, an inter-departmental portal for publishing existing public administration information in a range of raw, re-usable formats.
France should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.
Joining OGP, which currently includes 16 other EU Member States, would be an opportunity to share best practice in open data and open government approaches with peers in the EU and with partners who receive French aid.","The MAE performs very poorly overall, scoring on no country level indicators and just 1 of 25 activity level indicators. Though MAE does publish information for some projects on an ad-hoc basis, no country level or activity level information is systematically published, nor does an online database exist where such information could be easily accessed. MAE did not respond to requests for comment during the survey process.
The MAE should work with the AFD and MINEFI to produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should also begin publication of current organisation level information, such as procurement policies, tender information and budgets.",,no,Coordination SUD,,,,,,,,,,,,,,,62,62,0.142963,0.388889,0,0.04,very poor,5,,Bilateral
25,France,France,"Ministry of Economics, Finance and Industry",MINEFI,france,minefi,"The 2011 Pilot Index only assessed the transparency of one French organisation, the French Development Agency (AFD &mdash; L’Agence Française de Développement). Although the AFD is the main implementing agency for France’s development cooperation, substantial flows and activities are managed by other public bodies. To gain a more accurate reflection of French aid transparency, the 2012 Index includes profiles of the Ministry of Foreign Affairs (MAE &mdash; le Ministère des Affaires étrangères) and the Ministry of Economy and Finance (MINEFI &mdash; le Ministère de l’Économie et des Finances) on the following pages.
France has not signed IATI but has attended several IATI Steering Committee meetings as an observer. It has committed to implement the Busan common standard, which includes all IATI information fields and the XML format. As part of the common standard agreement in June 2012, France has committed to producing an implementation schedule by December 2012.
France has not joined OGP.
A national Open Data platform and approach is being developed by Etalab, launched by the Prime Minister in February 2011. It is overseeing www.data.gouv.fr, an inter-departmental portal for publishing existing public administration information in a range of raw, re-usable formats.
France should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.
Joining OGP, which currently includes 16 other EU Member States, would be an opportunity to share best practice in open data and open government approaches with peers in the EU and with partners who receive French aid.","MINEFI performs very poorly, scoring on no country level indicators and just 1 of 25 activity level indicators. Though MINEFI does publish information for some projects on an ad-hoc basis, no country level or activity level information is systematically published, nor does a database exist where such information could be easily accessed. MINEFI did not respond to requests for comment during the survey process.
MINEFI should work with the AFD and MAE to produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.",,no,Coordination SUD,,,,,,,,,,,,,,,68,68,0.05963,0.138889,0,0.04,very poor,5,,Bilateral
26,Gates Foundation,Gates,,,gates,,,"The Gates Foundation has not signed IATI, though it has endorsed the Busan Partnership document, which includes the common standard. It reported its 2009 global health grants (at the activity level) to the DAC for the first time in April 2011. The Gates Foundation is currently developing a transparency policy to be published in the near future and was working on publishing an OECD data file that was not completed in time to be considered for this Index.
The Foundation performed moderately, ranking 33rd and scoring above the average for all donors. It performed consistently across all indicators, posting above average scores on the country and activity level indicators. Most information is found in a searchable, comprehensive grants database that could be converted to the IATI format. The Gates Foundation also publishes regular evaluations at the programme level.
The Gates Foundation should sign IATI. It should publish an implementation schedule by the end of 2012, in line with the Busan common standard agreement, and begin publication in 2013.",,yes,,,,,,,,,,,,,,,,33,33,0.45619,0.5,0.428571,0.44,moderate,3,,PFT
27,Germany,Germany,GIZ,GIZ,germany,giz,,"<i>The 2011 Pilot Index and the 2012 Index assess the aid transparency of two German aid organisations &mdash; the Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) and the KfW Bankengruppe, Germany’s main development finance institution. In recognition of the important policy-setting role played by the Ministry for Economic Cooperation and Development (Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung &mdash; BMZ), the surveys for GIZ and KfW both included information found on the BMZ website. BMZ has specific responsibility for publishing some of the information surveyed, particularly at the organisation and country levels.</i>
Germany is a founding signatory to IATI but has yet to produce an implementation schedule. This is currently being drafted, alongside the development of a new data management system. Germany has not joined OGP.
GIZ performed moderately, ranking 39th and scoring just over the overall average score. It scores below average at both the country and activity levels, though it performs well at the organisation level, where it ranks 19th overall. GIZ’s increased score is almost entirely due to its performance on newly added indicators; it performed very consistently with the 2011 score when controlling for methodological changes, suggesting limited new activity. Most information can be found in a database that publishes basic information for all projects in both English and German, but no financial data is provided &mdash; not even the overall financial cost for individual activities. It is also difficult to find and interpret aggregate data.
Germany should produce an implementation schedule by December 2012 that sets out an ambitious timetable. GIZ should work with BMZ to begin publishing their aid information to the IATI Registry in 2013, with the goal of full and automated publication by 2015. Germany should also consider joining OGP.",,yes,,,,,,,,,,,,,,,,39,39,0.39746,0.666667,0.285714,0.24,poor,4,,Bilateral
28,Germany,Germany,KfW,KfW,germany,kfw,,"<i>The 2011 Pilot Index and the 2012 Index assess the aid transparency of two German aid organisations &mdash; the Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) and the KfW Bankengruppe, Germany’s main development finance institution. In recognition of the important policy-setting role played by the Ministry for Economic Cooperation and Development (Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung &mdash; BMZ), the surveys for GIZ and KfW both included information found on the BMZ website. BMZ has specific responsibility for publishing some of the information surveyed, particularly at the organisation and country levels.</i>
Germany is a founding signatory to IATI but has yet to produce an implementation schedule. This is currently being drafted, alongside the development of a new project management system. Germany has not joined OGP.
KfW performed poorly, ranking 50th overall and 6th of seven development finance institutions. KfW also performed significantly worse than GIZ, due to the fact that no activity level information is published systematically; nor is there a public database where such information can be accessed. KfW performs relatively well on the organisation and country level, and is the highest ranking donor that scores 0% at the activity level. KfW does publish project level information for a small number of projects.
Germany should produce an implementation schedule by December 2012 that sets out an ambitious timetable. KfW should work with BMZ to begin publishing their aid information to the IATI Registry in 2013, with the goal of full and automated publication by 2015. Germany should also consider joining OGP.",,yes,,,,,,,,,,,,,,,,50,50,0.261905,0.5,0.285714,0,poor,4,"Germany KfW should have scored for indicator 36 (“Publishes contact details for the activity”). It publishes this information for all its activities. This can be found on the KfW database, for example: http://www.kfw-entwicklungsbank.de/ebank/EN_Home/Countries_and_Programmes/Asia/Afghanistan/Project_-_electricity_from_hydropower.jsp. References to KfW scoring 0 for activity level indicators are incorrect &mdash; it should have scored for one indicator at this level. This means KfW was scored 1.3% lower than it should have been; it should have scored 27.5% overall. This increase in score has no impact on KfW’s rank in the Index.",IFI/DFI
29,GAVI Alliance,GAVI,,,gavi,,,"GAVI is an original IATI signatory and should be congratulated for beginning publication in January 2012 and already publishing on a quarterly basis (a month in arrears), although it does not yet contain (for example) detail about implementing organisations.
GAVI performed very well, with the second largest increase in score from the 2011 Index of all donors, controlling for changes in the 2012 methodology. This increase is due to substantially improved scores at the activity level following its publication of IATI activity files, giving GAVI the 7th highest score of all donors at this level. GAVI also significantly improved its country and organisation level scores by publishing a disaggregated list of financial commitments to 2015. GAVI did not provide comment during the survey process.
GAVI should continue to lead on aid transparency by systematically publishing country level documentation such as MoUs, evaluations and results. It should aim to complete its IATI data coverage, including information such as implementing organisations, providing information on results and incorporating project documents into its feed.",,no,Re-Action UK,,,,,,,,,,,,,,,13,13,0.619524,0.75,0.428571,0.68,fair,2,,Multilateral
30,Global Environment Facility,GEF,,,gef,,,"The GEF is not an IATI signatory, nor covered by the Busan common standard commitments. The World Bank, an IATI signatory, serves as the trustee of the GEF.
The GEF ranked 24th overall and second out of three climate funds assessed. The GEF scored particularly well at the activity level, tying 11th overall on this level. The GEF’s organisation level score is substantially lower than the average for donors in the moderate category. Project level information is available in an English language database that could be easily transferred to the IATI format. Working with the World Bank to publish automatically out of their systems might be an even better solution.
The GEF should maximise its transparency by working with IATI, the UNFCCC, other climate funds and the World Bank to ensure that its information is timely, comprehensive, accessible and internationally comparable.",,yes,,,,,,,,,,,,,,,,24,24,0.522857,0.5,0.428571,0.64,moderate,3,,CFF
31,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Global Fund,,,global-fund,,,"The Global Fund has signed IATI and should be congratulated for publishing to the IATI Registry in November 2011. It has now automated publication within two weeks of each disbursement, and appears to be publishing live out of its online database &mdash; possibly the most frequent of any organisation.
The Global Fund performed very well, ranking 4th overall and tying for the highest country level score of all donors. The Global Fund also performs very well at the activity level, tying 3rd overall on this level. Though dropping two places in the Index, due to substantial progress made by the Netherlands and DFID, the Global Fund performed consistently with its 2011 score, controlling for changes in the 2012 methodology. As well as the high quality IATI feed, information is provided in a downloadable Excel database, which provides very detailed project information.
The Global Fund should continue to lead on aid transparency by systematically publishing tenders and contracts in its IATI feed and by exploring the publication of sub-national geographic information, and beginning to work with its partners to provide traceability throughout the chain.",,no,Re-Action UK,,,,,,,,,,,,,,,4,4,0.770529,0.694444,0.857143,0.76,fair,2,,Multilateral
32,Greece,Greece,HellenicAid,,greece,,,"Greece has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan.
Greece performed poorly at all levels and scored on no country or activity level indicators. HellenicAid publishes annual reports, though publication is quite delayed (the most recent report published is from 2010). Information is available for some projects, but no systematic project information is available. The CSO reported that information was very fragmented; some projects are mentioned in annual reports but do not appear online; there is almost no information on strategic vision or policy; and detailed, concise and consolidated project information is lacking. Most information is available in Greek and to a lesser extent English. Greece did not respond to invitations to provide feedback during the survey process.
Greece should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should include IATI in its OGP National Action Plan.",,no,,,,,,,,,,,,,,,,67,67,0.064815,0.194444,0,0,very poor,5,,Bilateral
33,Hewlett Foundation,Hewlett,,,hewlett,,,"The Hewlett Foundation is a founding IATI signatory and was the second organisation to begin publishing to the IATI Registry, in April 2011. It updated its activity level IATI information in June 2012, with quarterly publication expected.
Hewlett performed moderately well, increasing its score by 7 percentage points from 2011, once the methodological changes in the 2012 Index are controlled for. Hewlett performs well at the activity level, tying 18th overall, due to its regular publication of project level information to IATI. Hewlett performs poorly at the country level, where its core programmes were treated as analogous to countries, given its role as a private grant organisation rather than a traditional development institution. Hewlett improved at the country level by scoring on the audit indicator.
The Hewlett Foundation should consider publishing more information about its core programmes, such as overall strategy documents, evaluations and results, and publishing monthly data.",,yes,,,,,,,,,,,,,,,,31,31,0.463016,0.583333,0.285714,0.52,moderate,3,,PFT
34,Hungary,Hungary,Ministry of Foreign Affairs,,hungary,,,"Hungary has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and is currently developing commitments.
Hungary performed very poorly, ranking 70th out of all donors. It did not score on any activity level or county level indicators. In 2012, the MFA published an Annual Report for the first time. It publishes some information related to tenders, but no project information was found on the Hungarian MFA’s website. It has become even more difficult to find basic information on projects since Hungary opened a centralised government portal; more information appears to be on the old website than the new one, and most of the information is only in Hungarian. Hungary did not respond to a request for feedback during the survey process.
Hungary should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should include IATI in its OGP National Action Plan.",,no,Hungarian Association of NGOs for Development and Humanitarian Aid,,,,,,,,,,,,,,,70,70,0.046296,0.138889,0,0,very poor,5,,Bilateral
35,Inter-American Development Bank,IADB,,,iadb,,,"The IADB should be congratulated for signing IATI at HLF-4 and for producing an ambitious implementation schedule in July 2012. Initial publication, in March 2013, is planned to cover 100% of Sovereign Guarantee loans and grants, which constituted 91% of total IADB disbursements in 2011. Other flows and automated publication are under consideration.
IADB performed well again this year, scoring consistently with their 2011 score once the changes to the 2012 methodology are controlled for. IADB performed particularly well at the organisation level (ranking 7th at this level) and was the highest scoring development finance institution assessed in both 2011 and 2012. Most information is contained in a comprehensive database that provides detailed information of all its activities, to which evaluations, tender and design documents are linked when published.
The IADB should deliver on its implementation schedule and strive for automated publication as early as possible.",,yes,,,,,,,,,,,,,,,,11,11,0.672328,0.805556,0.571429,0.64,fair,2,,IFI/DFI
36,Ireland,Ireland,Irish Aid,,ireland,,,"Ireland is an original signatory to IATI but has yet to produce an implementation schedule. This is currently being drafted, alongside a review of their White Paper on Development Policy. Ireland has not joined OGP.
Ireland performed poorly, particularly at the activity level. At this level, even less information is available than in 2011. This has only been reflected in a slight reduction in its scores because the information available in 2011 was a limited number of case studies, so not sufficiently comprehensive to score in this Index. Ireland performs relatively well at the organisation level and publishes country strategies that show total forward spending for several years, though no information was published to 2015. IrishAid responded that it reports information to the OECD/DAC CRS, but the latest information available from the CRS is from 2010 and is therefore not current.
Ireland should produce an implementation schedule by December 2012 that sets out an ambitious timetable for beginning publication in 2013. Joining OGP, which currently includes 16 EU Member States, would be an opportunity to share best practice in open data and open government approaches with peers in the EU and with partners who receive Irish aid.",,yes,Dóchas,,,,,,,,,,,,,,,54,54,0.250212,0.527778,0.142857,0.08,poor,4,,Bilateral
37,Italy,Italy,Ministry of Foreign Affairs,,italy,,,"Italy has not signed IATI but has committed to implement the Busan common standard, which includes all IATI information fields and the XML format. As part of the common standard agreement in June 2012, Italy has committed to producing an implementation schedule by December 2012. Italy has also joined OGP and produced a National Action Plan.
Italy performed poorly, ranking 53rd overall and well below average at each level. At the organisation level, Italy scores significantly below the average for donors in the poor category, ranking 62nd for this level. Italy’s increased overall score is accounted for by the change in methodology in the 2012 Index. When controlling for this methodological change, Italy’s score was similar to that in 2011. Limited project information is published in a database in Italian, with some information available in English and French. Aside from this database, Italy does not score at the country level. Italy did not respond to an invitation to provide feedback during the survey process.
Italy should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Closer engagement with IATI will ensure that the Italian aid system is best reflected in the IATI standard. It should also include IATI in its OGP National Action Plan.",,no,,,,,,,,,,,,,,,,53,53,0.254497,0.277778,0.285714,0.2,poor,4,,Bilateral
38,Japan,Japan,Japan International Cooperation Agency,JICA,japan,jica,"The 2011 Pilot Index assessed the transparency of the Japan International Cooperation Agency (JICA). The 2012 Index also assesses the Ministry of Foreign Affairs (MOFA), in recognition of its important role in Japan’s development assistance. Profiles for each organisation are provided on the next page.
Japan has not signed IATI but has attended IATI Steering Committee meetings as an observer. It has committed to implement the Busan common standard, which includes all IATI information fields and the XML format. As part of the common standard agreement in June 2012, Japan has committed to producing an implementation schedule by December 2012.
Japan has not joined OGP.
In July 2012 the Prime Minister launched an ‘open data strategy for electronic administration’ to improve the transparency and credibility of administration and ‘to promote the utilisation of such data in future’. Implementation is being overseen by the Cabinet Secretariat with details being currently being worked out with input from ministers and experts.
Japan should produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.
Japan should also consider signing IATI to demonstrate a commitment to transparency. Closer engagement with IATI will ensure that the Japanese aid system is best reflected in the IATI standard as it continues to develop.
Joining OGP would be an opportunity to share best practice in open data and open government approaches with other bilateral donors and with partners who receive Japanese aid.","JICA and MOFA have jointly launched the ODA mieruka (“visualising”) initiative to increase the visibility of Japanese aid and to consolidate available online information. It currently covers grant aid projects, comprising around 40% of ODA. JICA also has a Knowledge Site, which contains non-financial project information including evaluations, outcomes and partners. JICA runs a separate yen loan project database.
JICA ranked 25th, performing strongly at the organisation level and scoring consistently with the MOFA. JICA’s score increased from 36% in the 2011 Index to 52% and while most of this increase is attributable to changes in methodology in the 2012 Index, JICA did score slightly higher than in 2011 when controlling for these changes. Like MOFA, much of JICA’s project information is dispersed over several websites, though the project database does have basic information for all projects, which could provide a first conversion to the IATI format.
JICA should work with MOFA, the Ministry of Finance and the Ministry of Economy, Trade and Industry to produce a comprehensive implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. This could be achieved by creating an IATI feed from the ODA mieruka site and increasing its coverage of Japanese ODA.",,yes,Japan NGO Center for International Cooperation,,,,,,,,,,,,,,,25,25,0.51582,0.638889,0.428571,0.48,moderate,3,,Bilateral
39,Japan,Japan,Ministry of Foreign Affairs,MFA,japan,mfa,"The 2011 Pilot Index assessed the transparency of the Japan International Cooperation Agency (JICA). The 2012 Index also assesses the Ministry of Foreign Affairs (MOFA), in recognition of its important role in Japan’s development assistance. Profiles for each organisation are provided on the next page.
Japan has not signed IATI but has attended IATI Steering Committee meetings as an observer. It has committed to implement the Busan common standard, which includes all IATI information fields and the XML format. As part of the common standard agreement in June 2012, Japan has committed to producing an implementation schedule by December 2012.
Japan has not joined OGP.
In July 2012 the Prime Minister launched an ‘open data strategy for electronic administration’ to improve the transparency and credibility of administration and ‘to promote the utilisation of such data in future’. Implementation is being overseen by the Cabinet Secretariat with details being currently being worked out with input from ministers and experts.
Japan should produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.
Japan should also consider signing IATI to demonstrate a commitment to transparency. Closer engagement with IATI will ensure that the Japanese aid system is best reflected in the IATI standard as it continues to develop.
Joining OGP would be an opportunity to share best practice in open data and open government approaches with other bilateral donors and with partners who receive Japanese aid.","MOFA has an online ODA project database. It includes information on the region, country, type of ODA, year and title of project. It also sometimes includes links to project summaries, procurement and evaluations. The new ODA mieruka website will also contain MOFA aid information.
MOFA ranked 23rd, scoring consistently across all indicators. Most project level information is dispersed across several websites, including a JICA project database, the MOFA website and the ODA project database, making it difficult to get a clear view of the totality of MOFA’s activities. The ODA project database only provides very basic project level information. This project information could be converted to the IATI format.
MOFA should work with JICA, the Ministry of Finance and the Ministry of Economy, Trade and Industry (METI) to produce a comprehensive implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. This could be achieved by creating an IATI feed from the ODA mieruka site and increasing its coverage of Japanese ODA.",,yes,Japan NGO Center for International Cooperation,,,,,,,,,,,,,,,23,23,0.535661,0.555556,0.571429,0.48,moderate,3,,Bilateral
40,Korea,Korea,Economic Development Cooperation Fund,EDCF,korea,edcf,,"Korea has not signed IATI but the government has stated that it is under consideration. It has committed to implement the Busan common standard. Korea has joined OGP and produced a National Action Plan.
The EDCF performed poorly, ranking 37th overall and 5th among seven development finance institutions assessed. EDCF performed above the average of DFIs on the country (also ranking 20th overall for this level) and activity levels, though it scored significantly below the average for DFIs at the organisation level. EDCF’s score improved from the 2011 Index, when controlling for changes to the 2012 methodology, largely due to an improved score at the country level. Most information is available in a Korean-language database. EDCF refused to provide to commentary on the 2012 Index.
The EDCF should work with KOICA and the Ministry of Foreign Affairs and Trade to produce a comprehensive implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.",,declined,ODA Watch,,,,,,,,,,,,,,,37,37,0.419153,0.388889,0.428571,0.44,moderate,3,,IFI/DFI
41,Korea,Korea,Korean International Cooperation Agency,KOICA,korea,koica,,"Korea has not signed IATI but the Government has stated that it is under consideration. It has committed to implement the Busan common standard. Korea has joined OGP and produced a National Action Plan.
KOICA scored poorly, ranking 41st and moving down 19 places when compared to its ranking in the 2011 Index, due to progress made by other donors. KOICA performed consistently with their 2011 Index score, when methodological changes in the 2012 Index were controlled for. KOICA performs relatively well at the country level, ranking 20th overall. ODA statistics and basic project level information is provided on an online database which could be easily transferred to the IATI format.
KOICA should work with the EDCF and the Ministry of Foreign Affairs and Trade to produce a comprehensive implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Korea should also consider signing IATI and include it in its OGP National Action Plan to demonstrate its commitment to transparency.",,yes,ODA Watch,,,,,,,,,,,,,,,41,41,0.392487,0.388889,0.428571,0.36,poor,4,,Bilateral
42,Latvia,Latvia,Ministry of Foreign Affairs,,latvia,,,"Latvia has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan.
Latvia performed poorly, scoring on no activity level indicators. Latvia performs relatively well at the organisation level, scoring well above average at this level amongst donors in the very poor category. Latvia publishes two databases, one for all projects from 2005&mdash;2010 and another of all activities by all Latvian ministries in 2011, but the publication of more current data is needed to improve Latvia’s score. The information is provided in Latvian, with very basic information in English.
Latvia should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should include IATI in its OGP National Action Plan.",,yes,LAPAS &mdash; The Latvian Platform for Development Cooperation,,,,,,,,,,,,,,,64,64,0.121693,0.222222,0.142857,0,very poor,5,,Bilateral
43,Lithuania,Lithuania,Ministry of Foreign Affairs,,lithuania,,,"Lithuania has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan.
Though Lithuania’s score and rank remain consistent with their 2011 score, changes to the 2012 Index actually mask a substantial decline when these methodological changes are controlled for. This is largely due to a decrease in Lithuania’s activity level score, where a database lists all projects, but provides very little information. The Lithuanian Development Cooperation website is available in Lithuanian, English and Russian, although project information is only available in English up to 2011 and in Russian up to 2010. Lithuania did not respond to requests for feedback during the survey process.
Lithuania should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should include IATI in its OGP National Action Plan.",,no,,,,,,,,,,,,,,,,48,48,0.279312,0.472222,0.285714,0.08,poor,4,,Bilateral
44,Luxembourg,Luxembourg,Lux-Development,,luxembourg,,,"Luxembourg has not signed IATI or joined OGP. It has committed to implement the Busan common standard.
Luxembourg performed consistently with their 2011 performance (the increase in score is due to changes in the 2012 methodology), but dropped nine places in rank due to progress made by higher-performing donors. It performs relatively well at the activity level, scoring just below the average of all donors in the moderate category. At the organisation level, Luxembourg scores significantly below the average of all donors in the poor category. Activity level information is available in French and English in a comprehensive website. However, it was noted that projects, contracts and evaluations are not linked together and search functionality is very limited (there is no text search, and it is not possible to search by both country and sector). Luxembourg did not respond to requests for feedback during the survey process.
Luxembourg should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Luxembourg should consider joining OGP. It should also bring into force a Freedom of Information Act.",,no,,,,,,,,,,,,,,,,40,40,0.394127,0.416667,0.285714,0.48,poor,4,,Bilateral
45,Malta,Malta,Ministry of Foreign Affairs,,malta,,,"Malta has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan.
Malta performed extremely poorly, ranking last out of 72 donors and scoring 0%. No current information was available about any of its aid projects, although there was a new promotional video on Malta’s aid. It was not possible to determine Malta’s biggest aid recipient. At the time of writing, there is no Freedom of Information legislation in force in Malta.
Malta should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including commitments to publish the IATI elements of the standard and in the IATI XML format. It should also include IATI in its OGP National Action Plan. Malta also needs to bring into force its Freedom of Information Act.",,no,,,,,,,,,,,,,,,,72,72,0,0,0,0,very poor,5,,Bilateral
46,Netherlands,Netherlands,Ministry of Foreign Affairs,,netherlands,,,"The Netherlands is an original IATI signatory and began publishing to the IATI Registry in September 2011, on a quarterly basis. This information is visualised and accessible via the openaid.nl platform. In September 2011 the Dutch Government also launched an Open Data portal.62 It is a member of OGP and has produced a National Action Plan.63 It has also endorsed the Open Aid Partnership.
The Netherlands performed well, moving up one place to 3rd overall. It performed consistently well across all three levels, ranking in the top seven at each level. When controlling for changes to the 2012 methodology, the Netherlands showed a substantial increase in score over their 2011 score, scoring on one country level indicator and three activity level indicators for the first time. All information is available in Dutch and English in their IATI dataset as well as in a comprehensive database. There is also a free iPhone and Android app called OneWorld.
The Netherlands should continue to be an aid transparency leader by improving the quality of its IATI data. It should start publishing budgets and MoUs at the country level and project level documentation, including conditions, contracts and design documents and results data.",,yes,,,,,,,,,,,,,,,,3,3,0.774392,0.888889,0.714286,0.72,fair,2,,Bilateral
47,New Zealand,New Zealand,New Zealand Aid,,new-zealand,,,"New Zealand is an IATI signatory. It produced an implementation schedule in June 2011, which covered New Zealand Aid programme data, representing 93% of its ODA. IATI implementation was tentatively scheduled for late 2012. It is not a member of OGP.
New Zealand improved markedly, jumping 14 places from its rank of 30th in the 2011 Index. This is due to the publication of activity level information on their website in a format similar to the IATI standard, though it still needs some work to make it compatible and it is not currently published to the IATI Registry. New Zealand increased most significantly at the activity level, scoring on 60% of indicators; it only scored for one of 18 activity level indicators in the 2011 Index. New Zealand also improved at the country level, though changes to the 2012 methodology also contributed to the increase in New Zealand’s score.
New Zealand should produce a revised implementation schedule by December 2012 that sets out an ambitious timetable for publication to the IATI Registry in 2013, aiming for full implementation by 2015. As a first step, it could improve the existing data on its website and make it compatible with the IATI standard. It should also consider joining OGP.",,yes,Council for International Development,,,,,,,,,,,,,,,16,16,0.59418,0.611111,0.571429,0.6,moderate,3,,Bilateral
