id,e,code,number,subcode,since,sources,name,synonym
393,E1202,1202,1202,,None,[1][2],Polyvinylpyrrolidone; insoluble,Polyvinylpyrrolidone; insoluble
394,E1203,1203,1203,,None,[1][2],Polyvinyl alcohol,Vinyl alcohol polymer*
395,E1204,1204,1204,,None,[1][2],Pullulan,Pullulan
396,E1205,1205,1205,,None,[2],Basic methacrylate copolymer,
397,E1400,1400,1400,,None,[1],Dextrins; roasted starch,Dextrins; roasted starch
398,E1401,1401,1401,,None,[1],Acid treated starch,Starch; Acid-Treated*
399,E1402,1402,1402,,None,[1],Alkaline treated starch,Starch; Alkaline Treated*
400,E1403,1403,1403,,None,[1],Bleached starch,Starch; Bleached*
401,E1404,1404,1404,,None,[1][2],Oxidized starch,Oxidized starch
402,E1405,1405,1405,,None,[1],Starches; enzyme treated,Starches; enzyme treated
403,E1410,1410,1410,,None,[1][2],Monostarch phosphate,Monostarch phosphate
404,E1412,1412,1412,,None,[1][2],Distarch phosphate,Distarch phosphate
405,E1413,1413,1413,,None,[1][2],Phosphated distarch phosphate,Phosphated distarch phosphate
406,E1414,1414,1414,,None,[1][2],Acetylated distarch phosphate,Acetylated distarch phosphate
407,E1420,1420,1420,,None,[1][2],Starch acetate,Starch Acetate Esterified with Vinyl Acetate*
408,E1422,1422,1422,,None,[1][2],Acetylated distarch adipate,Acetylated distarch adipate
409,E1440,1440,1440,,None,[1][2],Hydroxypropyl starch,Hydroxypropyl starch
410,E1442,1442,1442,,None,[1][2],Hydroxypropyl distarch phosphate,Hydroxypropyl distarch phosphate
411,E1450,1450,1450,,None,[1][2],Starch sodium octenyl succinate,Starch sodium octenyl succinate
412,E1451,1451,1451,,None,[1][2],Acetylated oxidized starch,Acetylated oxidized starch
413,E1452,1452,1452,,None,[2],Starch aluminium octenyl succinate,
414,E1503,1503,1503,,None,[1],Castor oil,Ricinus oil*
415,E1505,1505,1505,,None,[1][2],Triethyl citrate,Triethyl citrate
416,E1517,1517,1517,,None,[2],Glyceryl diacetate ,diacetin
417,E1518,1518,1518,,None,[1][2],Triacetin,Triacetin
418,E1519,1519,1519,,None,[2],Benzyl alcohol,
419,E1520,1520,1520,,None,[1][2],Propylene glycol,Propylene glycol
420,E1521,1521,1521,,None,[1][2],Polyethylene glycol,Polyethylene glycol
